Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	Gene Type	# of occurrence within resources (Column J-P)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	COSMIC CGC (v99)	Gene Aliases
HDAC2	3066	ENST00000519065	NM_001527.3	ENST00000519065	NM_001527.3	ONCOGENE	1	Yes	No	No	No	No	No	No	KDAC2, YAF1
HFE	3077	ENST00000357618	NM_000410	ENST00000357618	NM_000410	ONCOGENE	1	Yes	No	No	No	No	No	No	HFE1
HNF1B	6928	ENST00000225893	NM_001165923	ENST00000617811	NM_000458	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	HNF1beta, LFB3, MODY5, TCF2, VHNF1
HNRNPA2B1	3181						1	No	No	No	No	No	No	Yes	HNRPA2B1
HOOK3	84376						1	No	No	No	No	No	No	Yes	
HOXA3	3200						1	No	No	No	No	Yes	No	No	HOX1E
HSD17B2	3294	ENST00000199936	NM_002153	ENST00000199936	NM_002153	TSG	1	Yes	No	No	No	No	No	No	HSD17, SDR9C2
HTATIP2	10553	ENST00000421577	NM_001098521	ENST00000421577	NM_001098521	TSG	1	Yes	No	No	No	No	No	No	CC3, FLJ26963, SDR44U1, TIP30
ID1	3397	ENST00000376112	NM_002165	ENST00000376112	NM_002165	ONCOGENE	1	Yes	No	No	No	No	No	No	bHLHb24, dJ857M17.1.2
IFNAR1	3454	ENST00000270139	NM_000629	ENST00000270139	NM_000629	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	IFNAR, IFRC
IKBKB	3551						1	No	No	No	No	No	No	Yes	IKK-beta, IKK2, IKKB, NFKBIKB
IKZF2	22807						1	No	No	No	No	Yes	No	No	Helios, ZNFN1A2
IL2	3558						1	No	No	No	No	No	No	Yes	IL-2, TCGF
ING1	3621	ENST00000375774	NM_005537	ENST00000375774	NM_005537	TSG	1	Yes	No	No	No	No	No	No	p24ING1c, p33, p33ING1, p33ING1b, p47, p47ING1a
INPP5D	3635						1	No	No	No	No	Yes	No	No	SHIP, SHIP1, hp51CN
INTS6	26512	ENST00000311234	NM_012141	ENST00000311234	NM_012141	TSG	1	Yes	No	No	No	No	No	No	DBI-1, DDX26, DDX26A, DICE1, HDB, Notchl2
IQGAP1	8826	ENST00000268182	NM_003870	ENST00000268182	NM_003870	ONCOGENE	1	Yes	No	No	No	No	No	No	HUMORFA01, KIAA0051, p195
IRS4	8471						1	No	No	No	No	No	No	Yes	IRS-4, PY160
ITPKB	3707	ENST00000272117	NM_002221	ENST00000272117	NM_002221	ONCOGENE	1	Yes	No	No	No	No	No	No	IP3-3KB, IP3KB
KAT6B	23522						1	No	No	No	No	No	No	Yes	MOZ2, MYST4, Morf, ZC2HC6B, qkf, querkopf
KAT7	11143	ENST00000259021	NM_007067	ENST00000259021	NM_007067	ONCOGENE	1	Yes	No	No	No	No	No	No	HBO1, HBOA, MYST2, ZC2HC7
KCNJ5	3762						1	No	No	No	No	No	No	Yes	GIRK4, KATP1, Kir3.4, LQT13
KDM2B	84678						1	No	No	No	No	Yes	No	No	CXXC2, FBXL10, Fbl10, JHDM1B, PCCX2
KDM4C	23081						1	No	No	No	No	Yes	No	No	GASC1, JMJD2C, KIAA0780, TDRD14C
KDM5D	8284	ENST00000317961	NM_004653	ENST00000317961	NM_004653	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	HY, HYA, JARID1D, KIAA0234, SMCY
KIAA1549	57670	ENST00000422774		ENST00000422774	NM_001164665.2	ONCOGENE	1	Yes	No	No	No	No	No	No	
KLF2	10365	ENST00000248071	NM_016270.2	ENST00000248071	NM_016270.2	TSG	1	Yes	No	No	No	No	No	No	LKLF
KLF3	51274	ENST00000261438	NM_016531.5	ENST00000261438	NM_016531.5	TSG	1	Yes	No	No	No	No	No	No	BKLF
KLF6	1316						1	No	No	No	No	No	No	Yes	BCD1, COPEB, CPBP, GBF, PAC1, ST12, Zf9
KLK2	3817						1	No	No	No	No	No	No	Yes	
KNL1	57082						1	No	No	No	No	No	No	Yes	AF15Q14, CASC5, CT29, D40, KIAA1570, MCPH4, PPP1R55, Spc7, hKNL-1, hSpc105
KTN1	3895						1	No	No	No	No	No	No	Yes	KIAA0004, KNT
L1TD1	54596	ENST00000498273	NM_019079.4	ENST00000498273	NM_019079.5	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	ECAT11, FLJ10884
LARP4B	23185	ENST00000316157	NM_015155.2	ENST00000316157	NM_015155.2	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	KIAA0217, LARP5
LCP1	3936						1	No	No	No	No	Yes	No	No	CP64, L-PLASTIN, LC64P, PLS2
LGR5	8549	ENST00000266674	NM_003667	ENST00000266674	NM_003667	ONCOGENE	1	Yes	No	No	No	No	No	No	FEX, GPR49, GPR67, HG38
LIFR	3977						1	No	No	No	No	No	No	Yes	CD118
LRIG3	121227						1	No	No	No	No	No	No	Yes	FLJ90440, KIAA3016
LRP5	4041	ENST00000294304	NM_001291902.1	ENST00000294304	NM_001291902.1	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	BMND1, EVR1, EVR4, LR3, LRP7, OPPG, OPS, OPTA1, VBCH2
LRP6	4040	ENST00000261349	NM_002336.2	ENST00000261349	NM_002336.2	ONCOGENE	1	Yes	No	No	No	No	No	No	ADCAD2
LRRK2	120892						1	No	No	No	No	Yes	No	No	DKFZp434H2111, FLJ45829, PARK8, RIPK7, ROCO2
LZTS1	11178	ENST00000381569		ENST00000381569	NM_021020.5	TSG	1	Yes	No	No	No	No	No	No	
MAGED1	9500						1	No	No	No	No	Yes	No	No	DLXIN-1, NRAGE
MAGI2	9863	ENST00000354212	NM_012301.3	ENST00000354212	NM_012301.4	TSG	1	Yes	No	No	No	No	No	No	ACVRIP1, MAGI-2
MAL2	114569	ENST00000276681		ENST00000614891		TSG	1	Yes	No	No	No	No	No	No	
MAP3K21	84451	ENST00000366624	NM_032435	ENST00000366624	NM_032435	ONCOGENE	1	Yes	No	No	No	No	No	No	KIAA1804, MLK4
MAP3K6	9064						1	No	No	No	No	Yes	No	No	ASK2, MAPKKK6, MEKK6
MAP4K4	9448	ENST00000347699	NM_001242559	ENST00000347699	NM_001242559	ONCOGENE	1	Yes	No	No	No	No	No	No	FLH21957, HGK, NIK
MBD4	8930	ENST00000249910	NM_003925	ENST00000249910	NM_003925	TSG	1	Yes	No	No	No	No	No	No	
MBD6	114785	ENST00000355673	NM_052897.3	ENST00000355673	NM_052897.3	TSG	1	Yes	No	No	No	No	No	No	KIAA1887
MDS2	259283						1	No	No	No	No	Yes	No	No	
MEF2D	4209	ENST00000348159	NM_005920.3	ENST00000348159	NM_005920.3	ONCOGENE	1	Yes	No	No	No	No	No	No	
MIB1	57534						1	No	No	No	No	Yes	No	No	DIP-1, KIAA1323, MIB, ZZANK2, ZZZ6
MIDEAS	91748	ENST00000286523	NM_001043318.2	ENST00000286523	NM_001043318.2	TSG	1	Yes	No	No	No	No	No	No	C14orf117, C14orf43, ELMSAN1, LSR68
MKNK1	8569						1	No	No	No	Yes	No	No	No	MNK1
MLH3	27030	ENST00000355774	NM_001040108	ENST00000355774	NM_001040108	TSG	1	Yes	No	No	No	No	No	No	
MLLT11	10962						1	No	No	No	No	No	No	Yes	AF1Q
MNX1	3110						1	No	No	No	No	Yes	No	No	HB9, HLXB9, HOXHB9, SCRA1
MS4A1	931	ENST00000345732	NM_021950	ENST00000345732	NM_021950	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	B1, Bp35, CD20, FMC7
MTCP1	4515						1	No	No	No	No	No	No	Yes	P13MTCP1, TCL1C, p8MTCP1
MTHFD2	10797	ENST00000394053	NM_006636	ENST00000394053	NM_006636	ONCOGENE	1	Yes	No	No	No	No	No	No	
MTHFR	4524	ENST00000376590	NM_005957.4	ENST00000376590	NM_005957.5	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	
MYBL1	4603	ENST00000522677	NM_001080416	ENST00000522677	NM_001080416	ONCOGENE	1	Yes	No	No	No	No	No	No	A-myb, AMYB
MYO18A	399687						1	No	No	No	No	Yes	No	No	KIAA0216, MysPDZ
NACA	4666						1	No	No	No	No	Yes	No	No	NACA1
NBEAP1	606						1	No	No	No	No	Yes	No	No	BCL8, BCL8A
NCOA1	8648						1	No	No	No	No	No	No	Yes	F-SRC-1, KAT13A, NCoA-1, RIP160, bHLHe74
NFIB	4781						1	No	No	No	No	No	No	Yes	NFI-RED, NFIB2, NFIB3
NFKBIE	4794						1	No	No	No	No	No	No	Yes	IKBE
NHERF1	9368	ENST00000262613	NM_004252	ENST00000262613	NM_004252	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	EBP50, NHERF, SLC9A3R1
NOD1	10392						1	No	No	No	No	Yes	No	No	CARD4, CLR7.1, NLRC1
NONO	4841						1	No	No	No	No	No	No	Yes	NMT55, NRB54, P54, P54NRB, PPP1R114
NQO1	1728	ENST00000320623	NM_000903	ENST00000320623	NM_000903	ONCOGENE	1	Yes	No	No	No	No	No	No	DHQU, DIA4, NMOR1, QR1
NUTM2A	728118						1	No	No	No	No	Yes	No	No	FAM22A
NUTM2B	729262						1	No	No	No	No	No	No	Yes	FAM22B, bA119F19.1
NUTM2D	728130						1	No	No	No	No	No	No	Yes	FAM22D
OGA	10724	ENST00000361464	NM_012215.3	ENST00000361464	NM_012215.5	ONCOGENE	1	Yes	No	No	No	No	No	No	MEA5, MGEA5, NCOAT
OGT	8473	ENST00000373719	NM_181673.2	ENST00000373719	NM_181672.3	ONCOGENE	1	Yes	No	No	No	No	No	No	FLJ23071, HRNT1, MGC22921, O-GLCNAC, OGT1
OLIG2	10215						1	No	No	No	No	No	No	Yes	BHLHB1, OLIGO2, PRKCBP2, RACK17, bHLHe19
OMD	4958						1	No	No	No	No	Yes	No	No	SLRR2C, osteoadherin
ONECUT2	9480	ENST00000491143	NM_004852	ENST00000491143	NM_004852	ONCOGENE	1	Yes	No	No	No	No	No	No	OC-2
PAG1	55824						1	No	No	No	No	Yes	No	No	PAG
PARP2	10038						1	No	No	No	Yes	No	No	No	ADPRTL2, ARTD2
PARP3	10039						1	No	No	No	Yes	No	No	No	ADPRT3, ADPRTL3, ARTD3, IRT1, hPARP-3, pADPRT-3
PASK	23178						1	No	No	No	No	Yes	No	No	KIAA0135, PASKIN, STK37
PATZ1	23598						1	No	No	No	No	No	No	Yes	MAZR, PATZ, RIAZ, ZBTB19, ZNF278, ZSG, dJ400N23
PC	5091						1	No	No	No	No	Yes	No	No	PCB
PCLO	27445						1	No	No	No	No	Yes	No	No	ACZ, DKFZp779G1236, KIAA0559
PCSK7	9159						1	No	No	No	No	Yes	No	No	LPC, PC7, PC8, SPC7
PDCD11	22984						1	No	No	No	No	Yes	No	No	ALG-4, KIAA0185, NFBP, RRP5
PHF1	5252						1	No	No	No	No	Yes	No	No	MTF2L2, PCL1, TDRD19C
PHF19	26147	ENST00000373896	NM_015651	ENST00000373896	NM_015651	ONCOGENE	1	Yes	No	No	No	No	No	No	DKFZP727G051, MTF2L1, PCL3, TDRD19B
PHLPP1	23239	ENST00000262719	NM_194449	ENST00000262719	NM_194449	TSG	1	Yes	No	No	No	No	No	No	KIAA0606, PHLPP, PLEKHE1, PPM3A, SCOP
PHLPP2	23035	ENST00000568954	NM_015020	ENST00000568954	NM_015020	TSG	1	Yes	No	No	No	No	No	No	KIAA0931, PHLPPL, PPM3B
POLG	5428	ENST00000268124	NM_001126131	ENST00000268124	NM_001126131	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	POLG1, POLGA
POLH	5429	ENST00000372236	NM_006502.2	ENST00000372236	NM_006502.3	TSG	1	Yes	No	No	No	No	No	No	RAD30A, XP-V
POLQ	10721						1	No	No	No	No	No	No	Yes	
POU2F2	5452	ENST00000526816	NM_001207025	ENST00000526816	NM_001207025	ONCOGENE	1	Yes	No	No	No	No	No	No	OTF2
POU3F2	5454	ENST00000328345	NM_005604	ENST00000328345	NM_005604	ONCOGENE	1	Yes	No	No	No	No	No	No	BRN2, OCT7, OTF7, POUF3
POU3F4	5456	ENST00000373200	NM_000307	ENST00000644024	NM_000307	ONCOGENE	1	Yes	No	No	No	No	No	No	BRN4, DFN3, DFNX2, OTF9
POU5F1	5460						1	No	No	No	No	No	No	Yes	MGC22487, OTF3, Oct4
PPFIBP1	8496						1	No	No	No	No	No	No	Yes	SGT2, hSGT2, hSgt2p
PPP1CB	5500						1	No	No	No	No	Yes	No	No	MP, PP-1B, PP1B, PP1beta, PP1c, PPP1beta
PRF1	5551						1	No	No	No	No	No	No	Yes	HPLH2, PFP
PRKCB	5579	ENST00000303531	NM_002738.6	ENST00000643927	NM_002738.7	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	PKCB, PKCβ, PRKCB1, PRKCB2
PRPF8	10594	ENST00000304992	NM_006445	ENST00000304992	NM_006445	TSG	1	Yes	No	No	No	No	No	No	PRPC8, Prp8, RP13, SNRNP220, hPrp8
PRSS1	5644	ENST00000311737	NM_002769.4	ENST00000311737	NM_002769.4	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	TRY1
PRSS8	5652						1	No	No	No	No	Yes	No	No	
PSMB2	5690	ENST00000373237	NM_002794	ENST00000373237	NM_002794	ONCOGENE	1	Yes	No	No	No	No	No	No	HC7-I
PTK6	5753						1	No	No	No	No	No	No	Yes	BRK
PTPN14	5784	ENST00000366956	NM_005401	ENST00000366956	NM_005401	TSG	1	Yes	No	No	No	No	No	No	PEZ
PTPN6	5777						1	No	No	No	No	Yes	No	No	HCPH, PTP-1C, SHP-1, SHP1
PTPRB	5787						1	No	No	No	No	No	No	Yes	PTPB
PTPRC	5788						1	No	No	No	No	No	No	Yes	CD45, T200
PTPRK	5796						1	No	No	No	No	No	No	Yes	R-PTP-kappa
PUM1	9698	ENST00000257075	NM_014676	ENST00000257075	NM_014676	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	KIAA0099, PUMH1
RAD17	5884	ENST00000380774	NM_133339	ENST00000380774	NM_133339	TSG	1	Yes	No	No	No	No	No	No	CCYC, RAD17Sp, Rad24
RALGDS	5900						1	No	No	No	No	Yes	No	No	RGDS, RGF, RalGEF
RASGEF1A	221002						1	No	No	No	No	Yes	No	No	CG4853, FLJ37817
RELA	5970	ENST00000406246	NM_021975.3	ENST00000406246	NM_021975.4	ONCOGENE	1	Yes	No	No	No	No	No	No	NFKB3, p65
REV3L	5980	ENST00000358835	NM_002912	ENST00000358835	NM_002912	ONCOGENE	1	Yes	No	No	No	No	No	No	POLZ, REV3
RIOK2	55781	ENST00000283109	NM_018343.2	ENST00000283109	NM_018343.3	ONCOGENE	1	Yes	No	No	No	No	No	No	FLJ11159
RMI2	116028						1	No	No	No	No	No	No	Yes	BLAP18, C16orf75, MGC24665
RNASEH2A	10535	ENST00000221486	NM_006397	ENST00000221486	NM_006397	ONCOGENE	1	Yes	No	No	No	No	No	No	RNASEHI, RNHIA, RNHL
RNASEH2B	79621	ENST00000336617	NM_024570	ENST00000336617	NM_024570	TSG	1	Yes	No	No	No	No	No	No	AGS2, DLEU8, FLJ11712
RNF217-AS1	7955						1	No	No	No	No	Yes	No	No	STL
RPL10	6134						1	No	No	No	No	No	No	Yes	DXS648, DXS648E, FLJ23544, L10, QM
RPS15	6209	ENST00000592588	NM_001018	ENST00000593052	NM_001308226	ONCOGENE	1	Yes	No	No	No	No	No	No	MGC111130, S15
RPS6KB1	6198	ENST00000225577	NM_003161.3	ENST00000225577	NM_003161.4	ONCOGENE	1	Yes	No	No	No	No	No	No	PS6K, S6K, S6K1, STK14A, p70(S6K)-alpha
RUNX2	860						1	No	No	No	No	Yes	No	No	AML3, CBFA1, CCD, CCD1, PEBP2A1, PEBP2aA1
S1PR2	9294						1	No	No	No	No	Yes	No	No	AGR16, DFNB68, EDG5, Gpcr13, H218
SALL4	57167						1	No	No	No	No	No	No	Yes	ZNF797, dJ1112F19.1
SAMD9	54809	ENST00000379958	NM_017654.3	ENST00000379958	NM_017654.4	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	C7orf5, FLJ20073, KIAA2004
SAMD9L	219285	ENST00000318238	NM_152703.2	ENST00000318238	NM_152703.5	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	C7orf6, FLJ39885, KIAA2005
SBDS	51119						1	No	No	No	No	No	No	Yes	CGI-97, FLJ10917, SDO1, SWDS
SEC31A	22872						1	No	No	No	No	Yes	No	No	ABP125, ABP130, KIAA0905, SEC31L1
SEPTIN5	5413						1	No	No	No	No	Yes	No	No	HCDCREL-1, PNUTL1, SEPT5
SEPTIN6	23157						1	No	No	No	No	Yes	No	No	KIAA0128, MGC16619, MGC20339, SEPT6
SEPTIN9	10801						1	No	No	No	No	Yes	No	No	AF17q25, KIAA0991, MSF, MSF1, PNUTL4, SEPT9, SeptD1
SERP2	387923						1	No	No	No	No	Yes	No	No	C13orf21, bA269C23.1
SF3B2	10992	ENST00000322535	NM_006842	ENST00000322535	NM_006842	ONCOGENE	1	Yes	No	No	No	No	No	No	Cus1, SAP145, SF3b1, SF3b145
SFPQ	6421						1	No	No	No	No	No	No	Yes	PPP1R140
SFRP1	6422	ENST00000220772	NM_003012.4	ENST00000220772	NM_003012.4	TSG	1	Yes	No	No	No	No	No	No	FRP-1, SARP2
SFRP2	6423	ENST00000274063	NM_003013.2	ENST00000274063	NM_003013.2	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	FRP-2, SARP1, SDF-5
SFRP4	6424						1	No	No	No	No	No	No	Yes	FRP-4, FRPHE, FRZB-2, frpHE
SIX1	6495						1	No	No	No	No	No	No	Yes	DFNA23
SLC1A2	6506						1	No	No	No	No	Yes	No	No	EAAT2, GLT-1
SLC45A3	85414						1	No	No	No	No	No	No	Yes	IPCA-2, IPCA-6, IPCA-8, PCANAP2, PCANAP6, PCANAP8, prostein
SLIT2	9353	ENST00000504154	NM_004787	ENST00000504154	NM_004787	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	SLIL3, Slit-2
SLIT3	6586	ENST00000519560	NM_003062	ENST00000519560	NM_003062	TSG	1	Yes	No	No	No	No	No	No	MEGF5, SLIL2, Slit-3, slit2
SNCAIP	9627						1	No	No	No	Yes	No	No	No	SYPH1
SND1	27044						1	No	No	No	No	No	No	Yes	TDRD11, p100
SNX29	92017						1	No	No	No	No	Yes	No	No	FLJ12363, RUNDC2A
SOCS2	8835						1	No	No	No	No	Yes	No	No	CIS2, Cish2, SOCS-2, SSI-2, SSI2, STATI2
SQSTM1	8878	ENST00000389805	NM_003900	ENST00000389805	NM_003900	ONCOGENE	1	Yes	No	No	No	No	No	No	A170, OSIL, PDB3, p62B
SRP72	6731	ENST00000342756	NM_006947	ENST00000642900	NM_006947	ONCOGENE	1	Yes	No	No	No	No	No	No	
SS18L1	26039						1	No	No	No	No	No	No	Yes	CREST, KIAA0693
STAT1	6772	ENST00000361099	NM_007315.3	ENST00000361099	NM_007315.3	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	ISGF-3, STAT91
STAT2	6773	ENST00000314128	NM_005419.3	ENST00000314128	NM_005419.3	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	STAT113
STIL	6491						1	No	No	No	No	No	No	Yes	MCPH7, SIL
STRN	6801						1	No	No	No	No	No	No	Yes	PPP2R6A, STRN1
SZT2	23334	ENST00000562955	NM_015284	ENST00000562955	NM_015284	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	C1orf84, FLJ10387, FLJ34502, KIAA0467, KICS1, RP11-506B15.1, SZT2A, SZT2B
TACSTD2	4070	ENST00000371225	NM_002353.2	ENST00000371225	NM_002353.3	ONCOGENE	1	Yes	No	No	No	No	No	No	EGP-1, GA733-1, M1S1, TROP2
TCEA1	6917						1	No	No	No	No	No	No	Yes	GTF2S, SII, TCEA, TF2S, TFIIS
TCF12	6938						1	No	No	No	No	No	No	Yes	HEB, HTF4, HsT17266, bHLHb20, p64
TCL1B	9623	ENST00000340722	NM_004918.3	ENST00000340722	NM_004918.3	ONCOGENE	1	Yes	No	No	No	No	No	No	TML1
TEC	7006						1	No	No	No	No	Yes	No	No	PSCTK4
TERC	7012						1	No	No	No	Yes	No	No	No	SCARNA19, TRC3, hTR
TFEB	7942						1	No	No	No	No	No	No	Yes	TCFEB, bHLHe35
TFPT	29844						1	No	No	No	No	Yes	No	No	FB1, INO80F, amida
TFRC	7037						1	No	No	No	No	Yes	No	No	CD71, TFR1, p90
TIGAR	57103	ENST00000179259	NM_020375	ENST00000179259	NM_020375	ONCOGENE	1	Yes	No	No	No	No	No	No	C12orf5
TIPARP	25976						1	No	No	No	Yes	No	No	No	ARTD14, DDF1, DKFZP434J214, DKFZp686N0351, PARP-1, PARP-7, PARP7, RM1, pART14
TLE1	7088	ENST00000376499	NM_001303103.1	ENST00000376499	NM_001303103.1	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	ESG1, GRG1
TLE2	7089	ENST00000262953	NM_003260.4	ENST00000262953	NM_003260.4	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	ESG, ESG2, FLJ41188, GRG2
TLE3	7090	ENST00000558939	NM_005078.3	ENST00000558939	NM_005078.3	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	ESG3, GRG3, HsT18976, KIAA1547
TLE4	7091	ENST00000376552	NM_007005.4	ENST00000376552	NM_007005.4	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	E(spl), GRG4
TLL2	7093						1	No	No	No	No	Yes	No	No	
TMEM30A	55754						1	No	No	No	No	Yes	No	No	C6orf67, CDC50A, FLJ10856
TMSB4XP8	7117						1	No	No	No	No	Yes	No	No	TMSL3
TNFRSF11A	8792						1	No	No	No	No	Yes	No	No	CD265, FEO, LOH18CR1, PDB2, RANK
TNFSF13	8741	ENST00000338784	NM_003808	ENST00000338784	NM_003808	ONCOGENE	1	Yes	No	No	No	No	No	No	APRIL, CD256
TONSL	4796	ENST00000409379	NM_013432	ENST00000409379	NM_013432	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	IKBR, NFKBIL2
TOP2A	7153	ENST00000423485	NM_001067	ENST00000423485	NM_001067	ONCOGENE	1	Yes	No	No	No	No	No	No	TOP2
TPMT	7172	ENST00000309983	NM_000367.2	ENST00000309983	NM_000367.5	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	
TPR	7175						1	No	No	No	No	No	No	Yes	
TRIB3	57761	ENST00000217233	NM_001301188	ENST00000217233	NM_001301188	ONCOGENE	1	Yes	No	No	No	No	No	No	C20orf97, dJ1103G7.3
TRIM33	51592						1	No	No	No	No	No	No	Yes	FLJ11429, KIAA1113, PTC7, RFG7, TF1G, TIF1G, TIF1GAMMA, TIFGAMMA
TRRAP	8295						1	No	No	No	No	No	No	Yes	PAF400, TR-AP, Tra1
TTL	150465						1	No	No	No	No	Yes	No	No	MGC46235
TUSC3	7991						1	No	No	No	No	Yes	No	No	MGC13453, MRT22, MRT7, MagT2, N33, OST3A, SLC58A2
TYMS	7298	ENST00000323274	NM_001071.2	ENST00000323274	NM_001071.4	ONCOGENE	1	Yes	No	No	No	No	No	No	HsT422, TMS, TS, Tsase
TYRO3	7301						1	No	No	No	Yes	No	No	No	Brt, Dtk, Etk-2, RSE, Rek, Sky, Tif
UBA1	7317	ENST00000335972	NM_003334.3	ENST00000335972	NM_003334.4	ONCOGENE	1	Yes	No	No	No	No	No	No	A1S9T, CFAP124, GXP1, POC20, UBE1, UBE1X
UBE2A	7319	ENST00000371558	NM_003336	ENST00000371558	NM_003336	ONCOGENE	1	Yes	No	No	No	No	No	No	HHR6A, HR6A, RAD6A, UBC2
UBTF	7343	ENST00000302904		ENST00000436088	NM_014233.4	ONCOGENE	1	Yes	No	No	No	No	No	No	NOR-90, UBF, UBF1, UBF2
UCHL1	7345	ENST00000284440	NM_004181	ENST00000284440	NM_004181	ONCOGENE	1	Yes	No	No	No	No	No	No	PARK5, PGP9.5, Uch-L1
USP1	7398	ENST00000339950	NM_003368.4	ENST00000339950	NM_003368.5	ONCOGENE	1	Yes	No	No	No	No	No	No	
VEGFB	7423	ENST00000309422	NM_003377.4	ENST00000309422	NM_003377.5	ONCOGENE	1	Yes	No	No	No	No	No	No	VEGFL, VRF
WAS	7454						1	No	No	No	No	No	No	Yes	IMD2, THC, WASP, WASPA
WDCP	80304						1	No	No	No	No	No	No	Yes	C2orf44, FLJ21945, MMAP
WDR90	197335						1	No	No	No	No	Yes	No	No	C16orf15, C16orf16, C16orf17, C16orf18, C16orf19, FLJ36483, KIAA1924, POC16
WEE1	7465	ENST00000450114	NM_003390.3	ENST00000450114	NM_003390.4	TSG	1	Yes	No	No	No	No	No	No	WEE1A
WWP1	11059	ENST00000265428	NM_007013.3	ENST00000265428	NM_007013.3	ONCOGENE	1	Yes	No	No	No	No	No	No	AIP5, DKFZP434D2111
XRCC1	7515	ENST00000262887	NM_006297	ENST00000262887	NM_006297	TSG	1	Yes	No	No	No	No	No	No	RCC
YPEL5	51646						1	No	No	No	No	Yes	No	No	CGI-127
YY1	7528	ENST00000262238	NM_003403.4	ENST00000262238	NM_003403.4	ONCOGENE	1	Yes	No	No	No	No	No	No	INO80S, UCRBP, YIN-YANG-1
YY1AP1	55249						1	No	No	No	No	Yes	No	No	HCCA2, YAP, YY1AP
ZBTB20	26137	ENST00000474710	NM_001164342.2	ENST00000474710	NM_001164342.2	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	DKFZp566F123, DPZF, ODA-8S, ZNF288
ZFP36L1	677	ENST00000336440	NM_001244698.1	ENST00000336440	NM_001244698.1	TSG	1	Yes	No	No	No	No	No	No	Berg36, RNF162B, TIS11B, cMG1
ZFP36L2	678	ENST00000282388	NM_006887.4	ENST00000282388	NM_006887.4	TSG	1	Yes	No	No	No	No	No	No	ERF2, RNF162C, TIS11D
ZNF24	7572						1	No	No	No	No	Yes	No	No	KOX17, ZNF191, ZSCAN3, Zfp191
ZNF292	23036	ENST00000369577	NM_015021.1	ENST00000369577	NM_015021.3	TSG	1	Yes	No	No	No	No	No	No	KIAA0530, ZFP292, Zn-15, Zn-16, bA393I2.3
ZNF331	55422						1	No	No	No	No	No	No	Yes	RITA, ZNF361, ZNF463
ZNF750	79755	ENST00000269394	NM_024702.2	ENST00000269394	NM_024702.2	TSG	1	Yes	No	No	No	No	No	No	FLJ13841, Zfp750
